https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1599390000000,2020-09-06 11:00:00,BTC/USDT,10232.63,10275.26,10191.55,10266.67,7180.116,73517452.87790,27311
1599386400000,2020-09-06 10:00:00,BTC/USDT,10219.98,10243.39,10172.00,10232.62,5295.530,54059024.60517,22786
1599382800000,2020-09-06 09:00:00,BTC/USDT,10240.66,10286.00,10169.00,10219.98,9396.171,96121216.45091,33516
1599379200000,2020-09-06 08:00:00,BTC/USDT,10232.42,10269.88,10176.62,10240.94,11039.611,112880735.81552,37221
1599375600000,2020-09-06 07:00:00,BTC/USDT,10155.57,10260.59,10131.00,10232.56,10237.254,104401055.93564,35819
1599372000000,2020-09-06 06:00:00,BTC/USDT,10121.72,10168.41,10070.00,10155.57,6116.944,61861928.03565,24951
1599368400000,2020-09-06 05:00:00,BTC/USDT,10058.00,10147.00,10003.00,10121.73,11599.662,116799517.06425,42320
1599364800000,2020-09-06 04:00:00,BTC/USDT,10167.51,10224.27,10027.00,10058.00,13228.977,133761136.05854,47089
1599361200000,2020-09-06 03:00:00,BTC/USDT,10153.62,10196.24,10110.01,10167.22,5992.099,60873102.25921,26000
1599357600000,2020-09-06 02:00:00,BTC/USDT,10120.62,10171.72,10054.13,10153.79,8456.600,85538062.15524,33406
1599354000000,2020-09-06 01:00:00,BTC/USDT,10211.21,10229.99,10107.86,10120.62,6930.997,70472770.27526,28828
1599350400000,2020-09-06 00:00:00,BTC/USDT,10168.23,10247.19,10117.79,10211.46,11601.801,118251257.65296,41476
1599346800000,2020-09-05 23:00:00,BTC/USDT,9985.33,10190.00,9955.73,10168.71,13401.670,135288716.77010,45387
1599343200000,2020-09-05 22:00:00,BTC/USDT,10083.85,10143.45,9975.00,9983.12,15921.291,160247632.55408,53105
1599339600000,2020-09-05 21:00:00,BTC/USDT,10082.00,10140.62,9988.54,10083.84,9073.280,91299257.04340,39595
1599336000000,2020-09-05 20:00:00,BTC/USDT,9960.76,10116.06,9887.20,10082.06,16597.485,166219857.28768,62382
1599332400000,2020-09-05 19:00:00,BTC/USDT,10157.16,10196.95,9879.75,9960.16,36935.324,369327861.19281,141121
