https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1602565200000,2020-10-13 05:00:00,ETH/USDT,384.38,386.28,384.10,385.07,48907.009,18849494.34522,18712
1602561600000,2020-10-13 04:00:00,ETH/USDT,383.25,385.43,382.68,384.39,46534.704,17877759.86917,19741
1602558000000,2020-10-13 03:00:00,ETH/USDT,384.43,385.34,381.60,383.26,76289.781,29275373.89883,25290
1602554400000,2020-10-13 02:00:00,ETH/USDT,386.04,386.04,382.49,384.44,60835.540,23369625.60874,24012
1602550800000,2020-10-13 01:00:00,ETH/USDT,386.46,386.47,383.11,386.05,57867.205,22275860.33818,22969
1602547200000,2020-10-13 00:00:00,ETH/USDT,386.72,388.15,383.20,386.47,85635.696,33058221.28760,30633
1602543600000,2020-10-12 23:00:00,ETH/USDT,392.95,393.39,384.77,386.73,137736.296,53448721.69602,37642
1602540000000,2020-10-12 22:00:00,ETH/USDT,392.84,395.43,391.20,392.95,100361.646,39510526.49419,34144
1602536400000,2020-10-12 21:00:00,ETH/USDT,387.66,393.60,387.54,392.84,100164.583,39170203.77485,35221
1602532800000,2020-10-12 20:00:00,ETH/USDT,388.24,388.75,387.39,387.65,31261.614,12130003.09721,16998
1602529200000,2020-10-12 19:00:00,ETH/USDT,388.38,389.82,387.11,388.24,52406.172,20365345.90014,23314
1602525600000,2020-10-12 18:00:00,ETH/USDT,388.10,389.30,387.52,388.39,55935.955,21736332.47136,24693
1602522000000,2020-10-12 17:00:00,ETH/USDT,387.15,388.43,385.54,388.10,70046.022,27118707.38311,27108
1602518400000,2020-10-12 16:00:00,ETH/USDT,385.85,388.51,385.11,387.15,103405.503,40035626.07350,34726
1602514800000,2020-10-12 15:00:00,ETH/USDT,383.19,387.62,383.18,385.88,148832.549,57386854.30001,39926
1602511200000,2020-10-12 14:00:00,ETH/USDT,384.05,384.98,382.20,383.18,120971.154,46391423.87390,34377
1602507600000,2020-10-12 13:00:00,ETH/USDT,368.96,385.87,368.18,384.05,444095.353,168195323.70904,89244
